reviewTitle,title_result,reviewBody,body_result,aspects
Good Value,"[{'overall_score': 'positive', 'aspects': ['value'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I was looking for an air cooler for my office and this one was perfect. I actually kept it for my bed stand and exchange the old one for my office due that this one is better. It keeps me cooler than the old one and let me sleep all night because it doesn't make noise. It is worth the money.,"[{'overall_score': 'positive', 'aspects': ['i', 'air', 'cooler', 'office', 'one', 'i', 'bed', 'stand', 'exchange', 'one', 'office', 'night', 'noise', 'money'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}, {'word': 'better', 'sentiment': 'positive'}, {'word': 'noise', 'sentiment': 'negative'}, {'word': 'worth', 'sentiment': 'positive'}]}]","['value', 'i', 'air', 'cooler', 'office', 'one', 'i', 'bed', 'stand', 'exchange', 'one', 'office', 'night', 'noise', 'money']"
Un-lasting Beauty,"[{'overall_score': 'negative', 'aspects': ['beauty'], 'sentiments': [{'word': 'beauty', 'sentiment': 'positive'}]}]","Beautiful at first, faded very fast (within a month) and looks very worn. Not worth the money spent on it????","[{'overall_score': 'negative', 'aspects': ['beautiful', 'month', 'money'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'worn', 'sentiment': 'negative'}, {'word': 'worth', 'sentiment': 'positive'}]}]","['beauty', 'beautiful', 'month', 'money']"
Disappointed,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'disappointed', 'sentiment': 'negative'}]}]","These are not flat on the bottom, and they are only 6mm in the center. Not what i was expecting. Im thinking these are going to be too thin. You can see on the ruler that they are 3.74 long and the caliper shows the 6mm thickness. Will look for a better product","[{'overall_score': 'negative', 'aspects': ['bottom', 'center', 'i', 'im', 'ruler', 'caliper', 'thickness', 'product'], 'sentiments': [{'word': 'better', 'sentiment': 'positive'}]}]","['bottom', 'center', 'i', 'im', 'ruler', 'caliper', 'thickness', 'product']"
Nice and colorful,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}, {'word': 'colorful', 'sentiment': 'positive'}]}]",These look amazing over my windows and the colors are perfect... the only thing I would like more is for the fabric to be thicker.,"[{'overall_score': 'positive', 'aspects': ['amazing', 'windows', 'colors', 'thing', 'i', 'fabric', 'thicker'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}, {'word': 'perfect', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'thicker', 'sentiment': 'negative'}]}]","['amazing', 'windows', 'colors', 'thing', 'i', 'fabric', 'thicker']"
good solid workmanship,"[{'overall_score': 'positive', 'aspects': ['workmanship'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'solid', 'sentiment': 'positive'}]}]","LOOKS GOOD ON MY WALL, EASY TO READ","[{'overall_score': 'positive', 'aspects': ['wall'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['workmanship', 'wall']"
Handsomely attractive bracelets for men,"[{'overall_score': 'positive', 'aspects': ['bracelets', 'men'], 'sentiments': [{'word': 'handsomely', 'sentiment': 'positive'}, {'word': 'attractive', 'sentiment': 'positive'}]}]","Great bracelet! Very well built, has very nice fit and finish. These make great gifts, I treated myself to two different variations.","[{'overall_score': 'positive', 'aspects': ['bracelet', 'fit', 'finish', 'gifts', 'i', 'variations'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['bracelets', 'men', 'bracelet', 'fit', 'finish', 'gifts', 'i', 'variations']"
Good for Walking,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","I wear orthotics and got a size larger and wider. I’m glad for that. The shoes are a bit stiff and not for running. I’m an avid walker and do 5 miles per day , rain, shine, snow or heat. These fit well and comfortably right out of the box.  In snow they had a fairly good grip. Nothing works on ice. They’re probably not waterproof but my toes don’t get wet in an inch or 2 of snow like in my old shoes. Support is excellent, probably why they feel stiff. But will probably loosen up over time.  My othodics provide arch support so I can’t rate these on that issue. These are trail shoes as they claim and not running shoes. Good enough.","[{'overall_score': 'positive', 'aspects': ['i', 'orthotics', 'size', 'm', 'glad', 'shoes', 'bit', 'i', 'walker', 'miles', 'day', 'rain', 'shine', 'heat', 'well', 'box', 'snow', 'grip', 'nothing', 'ice', 're', 'toes', '’', 't', 'get', 'wet', 'inch', 'snow', 'shoes', 'support', 'time', 'othodics', 'support', 'rate', 'issue', 'trail', 'shoes', 'shoes'], 'sentiments': [{'word': 'glad', 'sentiment': 'positive'}, {'word': 'stiff', 'sentiment': 'negative'}, {'word': 'avid', 'sentiment': 'positive'}, {'word': 'shine', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'comfortably', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'fairly', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'support', 'sentiment': 'positive'}, {'word': 'excellent', 'sentiment': 'positive'}, {'word': 'stiff', 'sentiment': 'negative'}, {'word': 'support', 'sentiment': 'positive'}, {'word': 'issue', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'enough', 'sentiment': 'positive'}]}]","['i', 'orthotics', 'size', 'm', 'glad', 'shoes', 'bit', 'i', 'walker', 'miles', 'day', 'rain', 'shine', 'heat', 'well', 'box', 'snow', 'grip', 'nothing', 'ice', 're', 'toes', '’', 't', 'get', 'wet', 'inch', 'snow', 'shoes', 'support', 'time', 'othodics', 'support', 'rate', 'issue', 'trail', 'shoes', 'shoes']"
the 1 star is only to be able to post a warning,"[{'overall_score': 'negative', 'aspects': ['star', 'warning'], 'sentiments': [{'word': 'warning', 'sentiment': 'negative'}]}]","For beginners, the box was torn completely apart. I immediately tossed the ""cheese"" in the garbage. I managed to gnaw my way through 2 sticks of stale pepperoni.","[{'overall_score': 'negative', 'aspects': ['beginners', 'box', 'garbage', 'way', 'sticks', 'pepperoni'], 'sentiments': [{'word': 'garbage', 'sentiment': 'negative'}, {'word': 'stale', 'sentiment': 'negative'}]}]","['star', 'warning', 'beginners', 'box', 'garbage', 'way', 'sticks', 'pepperoni']"
Great ear buds!,"[{'overall_score': 'positive', 'aspects': ['ear', 'buds'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","They are very easy to use once you get the hang of it. It took me a while to adjust them in my ears, but other than that, no problems and I like them!","[{'overall_score': 'positive', 'aspects': ['hang', 'while', 'ears', 'problems', 'i'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'hang', 'sentiment': 'negative'}, {'word': 'problems', 'sentiment': 'negative'}, {'word': 'like', 'sentiment': 'positive'}]}]","['ear', 'buds', 'hang', 'while', 'ears', 'problems', 'i']"
excellent for oil painting,"[{'overall_score': 'positive', 'aspects': ['excellent', 'oil', 'painting'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}]}]","This is an excellent brush for oil painting, easy to make different brush strokes, easy to clean and it is very durable. I wll buy again in different size.","[{'overall_score': 'positive', 'aspects': ['brush', 'oil', 'painting', 'brush', 'strokes', 'i', 'buy', 'size'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}]}]","['excellent', 'oil', 'painting', 'brush', 'oil', 'painting', 'brush', 'strokes', 'i', 'buy', 'size']"
Sexy,"[{'overall_score': 'positive', 'aspects': ['sexy'], 'sentiments': [{'word': 'sexy', 'sentiment': 'positive'}]}]",I bought this for my night birthday outfit and I’m glad I read all the reviews I’m slim thick I was so scared but I purchased a xl I have wide hips big thighs and it fits perfectly fine !!!! I love the color,"[{'overall_score': 'positive', 'aspects': ['i', 'night', 'birthday', 'outfit', 'i', 'm', 'glad', 'i', 'reviews', 'thick', 'i', 'xl', 'i', 'hips', 'thighs', 'color'], 'sentiments': [{'word': 'glad', 'sentiment': 'positive'}, {'word': 'scared', 'sentiment': 'negative'}, {'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'fine', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['sexy', 'i', 'night', 'birthday', 'outfit', 'i', 'm', 'glad', 'i', 'reviews', 'thick', 'i', 'xl', 'i', 'hips', 'thighs', 'color']"
This is best brand,"[{'overall_score': 'positive', 'aspects': ['brand'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]",Works great!,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['brand', 'works']"
High recommended!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'recommended', 'sentiment': 'positive'}]}]",Love love the product and it works like magic! Highly recommended for those who has deep skin scars on your face this product is very good ! Thank you seller fast and good packaging!,"[{'overall_score': 'positive', 'aspects': ['product', 'magic', 'skin', 'scars', 'face', 'product', 'thank', 'packaging'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'magic', 'sentiment': 'positive'}, {'word': 'recommended', 'sentiment': 'positive'}, {'word': 'scars', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'thank', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['product', 'magic', 'skin', 'scars', 'face', 'product', 'thank', 'packaging']"
Good cover,"[{'overall_score': 'positive', 'aspects': ['cover'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I watched the video on how to attach the screen protector. It helped make it easier. I liked how the cover had a design on it that showed how to line up the phone before you took it off.,"[{'overall_score': 'positive', 'aspects': ['i', 'video', 'screen', 'protector', 'cover', 'design', 'line', 'phone'], 'sentiments': [{'word': 'helped', 'sentiment': 'positive'}, {'word': 'easier', 'sentiment': 'positive'}, {'word': 'liked', 'sentiment': 'positive'}]}]","['cover', 'i', 'video', 'screen', 'protector', 'cover', 'design', 'line', 'phone']"
So beautiful and soft,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}]}]",Both my girls loved this rug as soon as they saw it! One of them will hardly keep it on the floor because she’d rather wrap up in it. Colors are great and it’s super soft.,"[{'overall_score': 'positive', 'aspects': ['girls', 'rug', 'floor', 'd', 'colors', '’'], 'sentiments': [{'word': 'loved', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'super', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}]}]","['girls', 'rug', 'floor', 'd', 'colors', '’']"
Good Product Good Value,"[{'overall_score': 'positive', 'aspects': ['product', 'value'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]",I bought to scan my '17 Chevrolet Cruise it does what is says,"[{'overall_score': 'neutral', 'aspects': ['i', 'chevrolet', 'cruise'], 'sentiments': []}]","['product', 'value', 'i', 'chevrolet', 'cruise']"
Exceeded Expectations,"[{'overall_score': 'positive', 'aspects': ['expectations'], 'sentiments': [{'word': 'exceeded', 'sentiment': 'positive'}]}]",We are very happy with how this turned out. We gave formatting liberty to the seller and they did a great job. Would definitely recommend.,"[{'overall_score': 'positive', 'aspects': ['liberty', 'seller', 'job'], 'sentiments': [{'word': 'happy', 'sentiment': 'positive'}, {'word': 'liberty', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['expectations', 'liberty', 'seller', 'job']"
Food tongs,"[{'overall_score': 'neutral', 'aspects': ['food', 'tongs'], 'sentiments': []}]",Excellent product and service,"[{'overall_score': 'positive', 'aspects': ['product', 'service'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}]}]","['food', 'tongs', 'product', 'service']"
Good quality but too thick.,"[{'overall_score': 'negative', 'aspects': ['quality'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Too thick.,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",['quality']
Works great,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]",Great light!,"[{'overall_score': 'positive', 'aspects': ['light'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['works', 'light']"
Cat likes it,"[{'overall_score': 'positive', 'aspects': ['cat'], 'sentiments': [{'word': 'likes', 'sentiment': 'positive'}]}]",My cat is a finicky water drinker which led to a lot of dehydration problems. He seems to have taken to this water fountain tho!,"[{'overall_score': 'positive', 'aspects': ['cat', 'water', 'drinker', 'lot', 'dehydration', 'problems', 'water', 'fountain', 'tho'], 'sentiments': [{'word': 'finicky', 'sentiment': 'negative'}, {'word': 'led', 'sentiment': 'positive'}, {'word': 'problems', 'sentiment': 'negative'}]}]","['cat', 'cat', 'water', 'drinker', 'lot', 'dehydration', 'problems', 'water', 'fountain', 'tho']"
Too small,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",They were way too small for a medium,"[{'overall_score': 'negative', 'aspects': ['way', 'medium'], 'sentiments': []}]","['way', 'medium']"
Love!!,"[{'overall_score': 'positive', 'aspects': ['love'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",Soft and cuddly. Its my son's new favorite blanket!,"[{'overall_score': 'positive', 'aspects': ['son', 'blanket'], 'sentiments': [{'word': 'soft', 'sentiment': 'positive'}, {'word': 'favorite', 'sentiment': 'positive'}]}]","['love', 'son', 'blanket']"
Parts Missing/Broken,"[{'overall_score': 'negative', 'aspects': ['parts'], 'sentiments': []}]",The charger was missing and some wires were broken.  I emailed the company with no answer so far (less than 24 hours).,"[{'overall_score': 'negative', 'aspects': ['charger', 'wires', 'i', 'company', 'answer', 'hours'], 'sentiments': [{'word': 'broken', 'sentiment': 'negative'}]}]","['parts', 'charger', 'wires', 'i', 'company', 'answer', 'hours']"
Quality of product!!,"[{'overall_score': 'positive', 'aspects': ['quality', 'product'], 'sentiments': []}]",Met all my expectations. Would buy again from this seller!!,"[{'overall_score': 'positive', 'aspects': ['expectations', 'seller'], 'sentiments': []}]","['quality', 'product', 'expectations', 'seller']"
Cute and comfortable,"[{'overall_score': 'positive', 'aspects': ['cute'], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]","Love the variety in the package. Packaging is first-class, too.","[{'overall_score': 'positive', 'aspects': ['variety', 'package', 'packaging'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'variety', 'sentiment': 'positive'}, {'word': 'first-class', 'sentiment': 'positive'}]}]","['cute', 'variety', 'package', 'packaging']"
"Good product, saves you money on chip clips!","[{'overall_score': 'positive', 'aspects': ['product', 'money', 'chip', 'clips'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","I really like this product and it will save me money since I don’t need chip clips anymore. It may take a few tries to get it right, but it’s very useful!","[{'overall_score': 'positive', 'aspects': ['product', 'money', 'i', '’', 't', 'chip', 'clips', 'tries'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'useful', 'sentiment': 'positive'}]}]","['product', 'money', 'chip', 'clips', 'product', 'money', 'i', '’', 't', 'chip', 'clips', 'tries']"
Stop charging after 3 uses.,"[{'overall_score': 'negative', 'aspects': ['stop', 'charging', 'uses'], 'sentiments': []}]",I only used it a couple of times and it stop charging,"[{'overall_score': 'negative', 'aspects': ['i', 'couple', 'times'], 'sentiments': []}]","['stop', 'charging', 'uses', 'i', 'couple', 'times']"
Nice skirt,"[{'overall_score': 'positive', 'aspects': ['skirt'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]",Fits great and is very cute and flattering,"[{'overall_score': 'positive', 'aspects': ['fits'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'cute', 'sentiment': 'positive'}, {'word': 'flattering', 'sentiment': 'positive'}]}]","['skirt', 'fits']"
A very good product!,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",It worked as advertised. Maca by Naturalize Labs increase my stamina and my libido. My wife loves it also.,"[{'overall_score': 'positive', 'aspects': ['maca', 'increase', 'stamina', 'libido', 'wife'], 'sentiments': [{'word': 'worked', 'sentiment': 'positive'}, {'word': 'loves', 'sentiment': 'positive'}]}]","['product', 'maca', 'increase', 'stamina', 'libido', 'wife']"
Read all instructions in the booklet!,"[{'overall_score': 'neutral', 'aspects': ['instructions', 'booklet'], 'sentiments': []}]",What a great system! So easy and the instructions are very helpful for first timers!!,"[{'overall_score': 'positive', 'aspects': ['system', 'instructions', 'timers'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'helpful', 'sentiment': 'positive'}]}]","['instructions', 'booklet', 'system', 'instructions', 'timers']"
I recommend,"[{'overall_score': 'positive', 'aspects': ['i'], 'sentiments': [{'word': 'recommend', 'sentiment': 'positive'}]}]","I’m in love with this product, I loved the color it work really well. Im very recommend this product","[{'overall_score': 'positive', 'aspects': ['i', 'm', 'love', 'product', 'i', 'color', 'product'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'loved', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['i', 'i', 'm', 'love', 'product', 'i', 'color', 'product']"
Just the right ones for my battery,"[{'overall_score': 'positive', 'aspects': ['ones', 'battery'], 'sentiments': [{'word': 'right', 'sentiment': 'positive'}]}]",The cables fit perfect,"[{'overall_score': 'positive', 'aspects': ['cables'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['ones', 'battery', 'cables']"
Great product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","It actually looks better than the picture shows, quality is great, light weights and easy to use. Maybe try to make it in different colors?","[{'overall_score': 'positive', 'aspects': ['picture', 'quality', 'weights', 'try', 'colors'], 'sentiments': [{'word': 'better', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['product', 'picture', 'quality', 'weights', 'try', 'colors']"
I wouldn't recommend this to anyone.. very cheaply made,"[{'overall_score': 'negative', 'aspects': ['i', 'anyone'], 'sentiments': [{'word': 'recommend', 'sentiment': 'positive'}, {'word': 'cheaply', 'sentiment': 'negative'}]}]",Wasn't a good product at all. It kept tearing apart,"[{'overall_score': 'negative', 'aspects': ['product'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['i', 'anyone', 'product']"
Daughter is loving her Green Screen,"[{'overall_score': 'positive', 'aspects': ['daughter', 'screen'], 'sentiments': [{'word': 'loving', 'sentiment': 'positive'}]}]",We used it to hang up the green screen and now my daughter is taking photos for my company and doing a great job for a 8 y/o,"[{'overall_score': 'positive', 'aspects': ['screen', 'daughter', 'photos', 'company', 'job', 'y/o'], 'sentiments': [{'word': 'hang', 'sentiment': 'negative'}, {'word': 'great', 'sentiment': 'positive'}]}]","['daughter', 'screen', 'screen', 'daughter', 'photos', 'company', 'job', 'y/o']"
Enclosed dust cap,"[{'overall_score': 'positive', 'aspects': ['dust', 'cap'], 'sentiments': [{'word': 'dust', 'sentiment': 'negative'}]}]",They look good on my vehicles,"[{'overall_score': 'positive', 'aspects': ['vehicles'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['dust', 'cap', 'vehicles']"
Best product out there!,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]",I got this for my wife and she couldn’t be happier!,"[{'overall_score': 'positive', 'aspects': ['i', 'wife', '’', 't'], 'sentiments': [{'word': 'happier', 'sentiment': 'positive'}]}]","['product', 'i', 'wife', '’', 't']"
Runs very wide.,"[{'overall_score': 'negative', 'aspects': ['runs'], 'sentiments': []}]",The shoe is well made but heavy.  I could not adjust Velcro straps tight enough to prevent my foot from slipping around and therefore I could not clip or unclip easily when mountain biking.,"[{'overall_score': 'negative', 'aspects': ['shoe', 'i', 'velcro', 'straps', 'foot', 'i', 'mountain', 'biking'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}, {'word': 'enough', 'sentiment': 'positive'}]}]","['runs', 'shoe', 'i', 'velcro', 'straps', 'foot', 'i', 'mountain', 'biking']"
Easy and quick,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",I wanted a more sanitary way to check my temperature rather then the old fashioned thermometer. And i love it. Its easy to use and quick.,"[{'overall_score': 'positive', 'aspects': ['i', 'way', 'temperature', 'thermometer'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['i', 'way', 'temperature', 'thermometer']"
Appearance,"[{'overall_score': 'positive', 'aspects': ['appearance'], 'sentiments': []}]","I was not disappointed with the wreaths.  I did not need a very colorful addition to my house, that will come in the spring. It was the appearance of springtime breaking through that attracted me to the wreaths.","[{'overall_score': 'positive', 'aspects': ['i', 'wreaths', 'i', 'addition', 'house', 'spring', 'appearance', 'springtime', 'wreaths'], 'sentiments': [{'word': 'disappointed', 'sentiment': 'negative'}, {'word': 'colorful', 'sentiment': 'positive'}, {'word': 'breaking', 'sentiment': 'negative'}]}]","['appearance', 'i', 'wreaths', 'i', 'addition', 'house', 'spring', 'appearance', 'springtime', 'wreaths']"
Love these!!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]","I never leave review but knew I had to for these. If you are up in the air, don’t hesitate and get these!! I have had them up for a few weeks now and have not had any peeling. I was able to do this all by myself. What I found worked was to cut them out and tape on the wall where I wanted them. That way I didn’t have to take them off after I got them on. I used a credit card to get out any bubbles and smooth them out. I wanted it to look more like wallpaper on the one wall. Love how they turned out and have gotten a ton of compliments on them.","[{'overall_score': 'positive', 'aspects': ['i', 'review', 'i', 'air', 't', 'hesitate', 'i', 'weeks', 'peeling', 'i', 'i', 'tape', 'wall', 'i', 'way', 't', 'i', 'i', 'credit', 'card', 'bubbles', 'i', 'wallpaper', 'wall', 'ton', 'compliments'], 'sentiments': [{'word': 'worked', 'sentiment': 'positive'}, {'word': 'smooth', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['i', 'review', 'i', 'air', 't', 'hesitate', 'i', 'weeks', 'peeling', 'i', 'i', 'tape', 'wall', 'i', 'way', 't', 'i', 'i', 'credit', 'card', 'bubbles', 'i', 'wallpaper', 'wall', 'ton', 'compliments']"
Wrong size,"[{'overall_score': 'negative', 'aspects': ['size'], 'sentiments': [{'word': 'wrong', 'sentiment': 'negative'}]}]",This item supposed to be a 5qt,"[{'overall_score': 'neutral', 'aspects': ['item'], 'sentiments': []}]","['size', 'item']"
What it said it was,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]",Great product!,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",['product']
Smaller than I thought they would be,"[{'overall_score': 'negative', 'aspects': ['i'], 'sentiments': []}]",My girls are always shaking off the old style tags so I thought this a better style.  Not difficult to get on,"[{'overall_score': 'positive', 'aspects': ['girls', 'style', 'style'], 'sentiments': [{'word': 'better', 'sentiment': 'positive'}, {'word': 'difficult', 'sentiment': 'negative'}]}]","['i', 'girls', 'style', 'style']"
Nice cinnamon,"[{'overall_score': 'positive', 'aspects': ['cinnamon'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]",Not as good as the Vietnamese one I got from same place,"[{'overall_score': 'neutral', 'aspects': ['i', 'place'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['cinnamon', 'i', 'place']"
Beautiful,"[{'overall_score': 'positive', 'aspects': ['beautiful'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]",Beautiful color great material.,"[{'overall_score': 'positive', 'aspects': ['color', 'material'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['beautiful', 'color', 'material']"
"Some reviewers were missing bags... well, I got an extra!","[{'overall_score': 'neutral', 'aspects': ['reviewers', 'bags', 'i'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}]}]","Which really I'm not rating that as a positive thing, since... that's just... well, poor quality control. If some people are getting shorted and some people are getting extra there's definitely something wrong with the system in place for sorting these things. Otherwise though I've opened and tried four of my five bags and they were all good except for one which was borderline hard and chewy rather than the soft gummy texture the rest had. I can't REALLY fault that, since... I mean, I've gotten bad bags from the grocery store too, but... still, kind of a points deduction there, plus the lack of care in packaging. Otherwise good.","[{'overall_score': 'negative', 'aspects': ['rating', 'thing', 'quality', 'control', 'people', 'people', 'something', 'system', 'place', 'things', 'bags', 'gummy', 'texture', 'rest', 'i', 'bags', 'grocery', 'store', 'kind', 'points', 'deduction', 'lack', 'care', 'packaging'], 'sentiments': [{'word': 'positive', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'poor', 'sentiment': 'negative'}, {'word': 'wrong', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'hard', 'sentiment': 'negative'}, {'word': 'soft', 'sentiment': 'positive'}, {'word': 'fault', 'sentiment': 'negative'}, {'word': 'bad', 'sentiment': 'negative'}, {'word': 'lack', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}]}]","['reviewers', 'bags', 'i', 'rating', 'thing', 'quality', 'control', 'people', 'people', 'something', 'system', 'place', 'things', 'bags', 'gummy', 'texture', 'rest', 'i', 'bags', 'grocery', 'store', 'kind', 'points', 'deduction', 'lack', 'care', 'packaging']"
Teal Marble,"[{'overall_score': 'neutral', 'aspects': ['teal', 'marble'], 'sentiments': []}]",It is absolutely beautiful ???? the colors are vibrant and print isn’t blurry. Easy to put on and fits perfectly. Great product for the price.,"[{'overall_score': 'positive', 'aspects': ['colors', 'isn', '’', 't', 'blurry', 'fits', 'product', 'price'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'vibrant', 'sentiment': 'positive'}, {'word': 'blurry', 'sentiment': 'negative'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['teal', 'marble', 'colors', 'isn', '’', 't', 'blurry', 'fits', 'product', 'price']"
Very flimsy and wouldn't stay up to the front  window.,"[{'overall_score': 'negative', 'aspects': ['front', 'window'], 'sentiments': [{'word': 'flimsy', 'sentiment': 'negative'}]}]",Automobile,"[{'overall_score': 'neutral', 'aspects': ['automobile'], 'sentiments': []}]","['front', 'window', 'automobile']"
