ReviewTitle,ReviewBody,Aspects,Sentiment,GeneratedResponse
Easy to Use,"Super easy to use!  Small, portable!",['1. Ease of use'],['1. Positive'],Thank you for your positive feedback!
Adequate when assembled.,"Product did not come with all parts, had to wait a week to get other parts. Also instructions for assembly were not good.",['1. Assembly'],"['1. Neutral: ""Adequate"" (implying that the product is satisfactory, but not outstanding)']",Thank you for your feedback!
Comfortable and stays in place.,I have medium length thin hair that I like to twist up on the back of my head. This holds it nicely and comfortably and actually closes all the way over the twist so it doesn't fall down. It is also more comfortable if I have to lean my head back than some of the other clips.,['1. Comfort'],"['1. Positive: ""Comfortable"", ""stays in place"", ""nicely"", ""comfortably""']",Thank you for your positive feedback!
Nice,Great product. Fast delivery. Will buy again,['1. Product quality: Positive'],['1. Nice: Positive'],Thank you for your positive feedback!
"Easy to install, fast shipping",We love ordering from Waterdrop. It’s so easy to find the filter that fits our fridge and the quick shipping is incredible. I cannot believe how much Samsung charges for filters so being able to buy two at half the price of one is AMAZING. We will absolutely keep ordering from waterdrop!,['* Installation process'],['* Neutral/Positive:'],Thank you for your positive feedback!
Love ❤️ these rings,"I love these rings, great quality and beautifully crafted",['* Quality'],['*'],Thank you for your feedback!
Dissatisfied,I really don’t like anything about it. Slow to make coffee. Very very noisy while perking. Hard to clean and pour water in tank. Wish I dad sent it back.,['1. Speed of coffee making'],['1. Dissatisfaction ( overall sentiment)'],Thank you for your feedback!
So far so good,"Finally pull the trigger to buy a masticating juicer to complement the Vitamix blender. There is definitely a learning curve and the poorly written instruction of the juicer cause quite some confusion in assembly and cleaning. Ignoring the instruction, the juicer is actually easy to put together and very easy to clean with the included brushes. It is sturdy and the noise level is fine for what it does. The juice tastes great and, judged by the dryness of the pulp, this juicer offers maximum amount of juice. I already figure out a favorite receipt for the hot days. Two medium size carrots, one apple, two handful kale, one small piece of ginger and a slice of lemon. Absolutely loves it.",['1. Learning curve'],['1. Confusion (related to instruction manual)'],Thank you for your feedback!
Doesn’t do anything,Took ages to widen an existing hole in an aluminum frame in my car. Probably spent about 5 minutes to widen the hole by 1-2mm.,"[""1. Effectiveness (doesn't do anything)""]","[""1. Negative (`doesn't do anything` implies a lack of effectiveness)""]",We apologize for your experience. We'll work to address these issues.
This beautiful harness has a reflective strip which is nice for our evening walks.,"She grew out of her medium one and this one  fits perfectly.  Also, she is much more obedient with her service dog harness on!",['1. Reflective strip for evening walks'],"['1. Positive sentiment (""beautiful harness"", ""nice"", ""perfectly fits"")']",Thank you for your positive feedback!
Xoxo! Meowwww ^.^,"This is kitten's most favorite toy of all timeeeee! Super sturdy and durable, hell, even I enjoy it when we play together. Pretty rainbow twirling ribbon. Really good toy for bonding.",['1. Sturdiness'],['1.'],Thank you for your feedback!
Go ahead n buy!!,Product as described thanks will be ordering again in another color,['* Product description'],"['* Positive sentiment: The reviewer is very satisfied with the product and is encouraging others to ""go ahead"" and buy it.']",Thank you for your positive feedback!
Would  get them again,They where what I  expected,{},[],Thank you for your feedback!
Bonito pero con detalles,"El Kong nos gustó mucho pero desafortunadamente traía dos defectos: una pierna floja que se le cae fácilmente y la segunda cabeza no embona. El vendedor fué muy profesional, me respondió rápido y me hizo un reembolso.",['1. Product (Kong)'],"['1. Neutral: ""Bonito"" (meaning ""nice"" or ""pretty"") - indicates a neutral opinion about the product\'s appearance.']",Thank you for your feedback!
Good for fragrance oils,"Perfect for my fragrance oils! They are very convenient and all of the droppers work well, I ordered another set of 24 since I am expanding my soap/perfume business.",['1. Fragrance oils'],"['1. Positive sentiment: The reviewer expresses that the product is ""perfect"" for their fragrance oils, indicating a high level of satisfaction.']",Thank you for your positive feedback!
Great smell - left a residue.,"Like the smell - long lasting. It is more of an oil base so when it’s sprayed in the air, it left a residue.",['1. Smell'],"['1. Positive: ""Great smell""']",Thank you for your positive feedback!
Nice for filling in the lows,"Like others have said, not going to thump. More like a home theater sub. Fills in all of the lows that 5 1/4 or 6 1/2 speakers can't.",['1. Low end response (fills in the lows)'],['1. Positive: Nice (neutral-positive)'],Thank you for your positive feedback!
"After 9 months of daily use, this woman isn't impressed with claims","The Seller has repeatedly answered negative Amazon reviews by writing ""use for 8 months minimum"" and so I'm going into my 9th month (which will be my last purchase). I seriously doubt I will suddenly see changes in the 9th and last month of usage. Can we all agree that thinning hair or hair loss occurs due to many factors and what works for some here doesn't work for others? The price has fluctuated over the last 9 months but I'm out of pocket over $200 for a wild experiment I was desperate to try. Lesson learned.",['1. Daily use for 9 months'],['1.'],Thank you for your feedback!
Don’t cutting the packing because you might end up cutting the wipe.,It was easy to put on the phone. I didn’t need instructions on how to do it. I enjoyed the tempered glass that came for the phone.,"['1. Packaging (mentioned in the context of ""don\'t cut the packing"")']","['1. Cautionary/negative sentiment: ""Don\'t cutting the packing because you might end up cutting the wipe"" ( warning against damaging the product)']",Thank you for your feedback!
Good Filters,Needed a new swimming pool filter. Filters are always perfect and very good seller. Filter arrived early.,['1. Filters (positive)'],['1. Good (positive)'],Thank you for your feedback!
Appears to work very well,"I purchased this in January 2021.  Initial tests throughout the house were in the 6.5 range even though I have been running a radon exhauster for several years on a 6 hour per day schedule.  I upped this to 8 hours which lowered the reading a little. Tested the unit outside which showed a .62 reading. Getting concerned, I purchased and installed a Honeywell ERV.  After some experimental checking, I have the ERV on low continuous, furnace fans on circulate and the radon exhauster on 2 hrs morning and 2 hours evening.  Radon now at about 2.0.  3,000 SF house air is much fresher and radon level is good - basement,  main level and upper master bedroom, all uniform at about 2.0.  I now have at our lake house.  Outside reading = .2.  Need to see what inside reading looks like this summer when closed up with a/c on.",['1. Performance of the product'],"['1. Positive: ""Appears to work very well"", ""much fresher"", ""good""']",Thank you for your positive feedback!
"Superior product, durable and reliable",I love this product. I use it ten times a day at least.,['1. Durability'],"['1. Positive (related to ""love"" and the enthusiastic tone)']",Thank you for your positive feedback!
Love this thread,"Great thead, nice color selection.","['* Thread (specifically, the quality and appearance of the thread)']","['* Positive sentiment towards the thread (indicated by the word ""Love"")']",Thank you for your positive feedback!
Great and worth it!,"Well worth money. Must use UV lamp, but after that you can go on with your day.","['* Quality (implied by ""worth it!"")']","['* Positive: ""Great"", ""worth it!"", ""worth money""']",Thank you for your positive feedback!
Even the elderly can use the echo,Echo is great. Turns on lights before I enter rooms and plays music I like.,"[""* Ease of use: The review mentions that even the elderly can use the echo, implying that it's easy to operate.""]","['* Positivity: The review is overwhelmingly positive, with the user stating that the echo is ""great"".']",Thank you for your feedback!
Decent shorts,These are pretty good shorts. Nice for lounging around or doing workouts. Not something I'd probably wear too often or wear out as they aren't really my style and kind of made of material similar to some wind pants I used to have and I just don't particularly care for that look or feel. Otherwise they're good. I can stretch and move easily in the them. Nothing major to complain about more of just a personal taste and preference. Overall I like and would recommend for someone looking for something like these.,['1. Quality of the shorts'],['1.'],Thank you for your feedback!
Perfect!,"Just what I needed. They fit, I can see!",['1. Fit'],"['1. Positive: (Implied through the use of ""Perfect!"" and ""Just what I needed"")']",Thank you for your positive feedback!
Great distractor,"I have two small dogs that get into barking matches. This item will magically make them stop long enough to forget what they were barking about. It's been a real ""ear"" saver!!",['* Effectiveness in distracting dogs from barking matches'],"['* Positive sentiment towards the product (""Great distractor"", ""ear saver!!"")']",Thank you for your positive feedback!
"Comfort, shade and worth the coatt",Works great for holding baby up out of the water and doesn't flip,{},[],Thank you for your feedback!
Not pleased.,The only thing I can say about this is that it’s warm. It’s no where near as fluffy as they claim it to be.,['1. Warmth'],['1. Negativity (overall sentiment is negative)'],Thank you for your feedback!
Not worth it,"Was excited for the desk but was a little hesitant because the reviews seemed 50/50 but thought how bad could it be? Well, it was horrible. The instructions given are not helpful at all, the measurements on the wood were incorrect, and worst of all the wood cracked. A total waste of money and who was the time or energy to return this huge thing? Not worth it.",['1. Instructions'],['1.'],Thank you for your feedback!
Easy to use,So easy to use. No messy trays. Low price.,['1. Ease of use'],[],Thank you for your feedback!
My favorite skirt!  I got it in 2 more colors!,"It's cute, sturdy, swishy, goes great with my crop tops, and sits comfortably at my waist!  After a while, I also got it in blue and pink!","['1. Fit: ""sits comfortably at my waist""']","['1. Positive: ""My favorite skirt!"", ""cute"", ""sturdy"", ""swishy"", ""goes great""']",Thank you for your positive feedback!
Support not strangling!,"Finally found a bra that fits big boobs, supports without wire and is actually comfortable and not strangling. Bought a second one!!",['1. Fit (specifically for big boobs)'],"['1. Positive: The reviewer is extremely satisfied with the bra, using words like ""finally"", ""supports"", ""comfortable"", and ""Bought a second one!!"" to emphasize their delight.']",Thank you for your positive feedback!
Buen material.,Es muy buen material y bien grande. Me encanta,"['* Material (mentioned as ""Buen material"")']","['* Positive (indicated by phrases such as ""muy buen material"" and ""Me encanta"")']",Thank you for your positive feedback!
Failed after normal use,"After 8 months the upper swivel pulled out of the 2 or 3 threads that were there. Up until this point, we loved it.",['* Product performance'],"['* Negative (Failed, pulled out)']",We apologize for your experience. We'll work to address these issues.
Garbage,"Two shots from a 30-30, and the lens fell out.",['* Performance (specifically the lens)'],"['* Strongly negative (the reviewer uses the swear word ""Garbage"" to express their disappointment)']",Thank you for your feedback!
Quilty,Easy to use,{},[],Thank you for your feedback!
My niece loved it:),Very cute,"['* The reviewer mentions that their ""niece loved it"", but does not specify what exactly their niece loved (product, experience, etc.). Therefore, the aspect is vague.']","[""* Positive: The reviewer uses the emoticon :) to express a positive sentiment, implying that they are happy and enthusiastic about their niece's reaction.""]",Thank you for your positive feedback!
Trying to wipe it off it water got inside my package,"I open the package reached my hand in to pull out the product, my hand was filled with a substance..My product came with a Vaseline like substance in the package.",['* Packaging quality (water getting inside the package)'],['* Frustration (trying to wipe it off and then finding the substance in the product)'],Thank you for your feedback!
Not Nearly Responsive Enough,"I am waiting for a Kawai keyboard to be in stock so I picked up this item just so I could get a jump learning to sight read... and so I could test drive couple of instructional apps. Unfortunately the responsiveness on this product is just terrible. I recognize how inexpensive it is... so I was not expecting much... but it is unusable for any educational purposes. Some notes randomly wont play no matter how hard you press the ""key""... other times notes will play twice when the key is struck once. Makes it impossible to complete  virtually any exercise in any app.",['1. Responsiveness'],['1.'],Thank you for your feedback!
Excelente para viajes de playa,Me encanto. La talla es acorde a lo descrito. Peso ligero e ideal para dias soleados,['1. Suitability for beach trips'],"['1. Positive: Excelente (excellent), Me encanto (I loved it)']",Thank you for your positive feedback!
Right size,Tasty.,['1. Size'],"['1. Positive sentiment towards the size (""Right size"")']",Thank you for your positive feedback!
Love the design,I bought this for my bathroom and now want to buy another set for my kitchen. I love that the bottle quality and the stickers add such a nice touch. I highly recommend the amber color! Looks very chic,['1. Design'],['1. Love (positive emotions towards the design and product)'],Thank you for your feedback!
Don't buy used!,"I can deal with a little cosmetic blemishes, but this was really bad. Can't believe Amazon even considered reselling this item. RETURNED!",{},[],Thank you for your feedback!
Super modern,I used different one long time. But i liked this one more. More modern more clean looking. I have been some troubles cleaning the old one so after i used first time and tried to cleaning on this one woow super easy. This should be the top priority if i buy more diffuser.,"['1. Design (modern, clean looking)']",['1.'],Thank you for your feedback!
Fun and Functional Pill Organizer,Absolutely love this pill organizer! It has a crack in the plastic but that doesn’t bother me since it doesn’t take away from the product’s functioning. It’s so easy to use and easy to grab in the morning! This has made taking my medicine consistently easier! Plus the design is so fun! I love the color and the push button!,"['* Functionality (easy to use, functional despite a small crack in the plastic)']","['* Positive: ""Absolutely love"", ""fun"", ""love""']",Thank you for your positive feedback!
Very thin and flimsy,"They work, but had I known they were so thin I would not have paid so much. Super thin, super flimsy for the money lol elsewhere.",['* Thickness of the product'],"['* Negative: The reviewer is not happy with the thickness and durability of the product, indicating a sense of disappointment and frustration.']",We apologize for your experience. We'll work to address these issues.
Exactly what its supposed to be a hand ratchet,"It works as it should but it's not entirely what I was looking for. It would be nice if it could work with a ratchet,  rather than be the ratchet. Either way I did find something else that works better for my needs. However ill still be keeping this to see if it comes in hand, no pun intended.",['* The product works as it should'],"['* Neutral: The reviewer mentions that the product ""works as it should"", which implies a neutral sentiment.']",Thank you for your feedback!
Convenient. Awesome hair collection! Sharp?,"Was really convenient removing the hair, the cats seem to sort of like it. My medium hair kitty acts a little sensitive to it, but when I am gentle she is tolerant. The metal bristles are a tad sharp feeling to me, but my long hair loves it!","[""1. Convenience: The reviewer mentions that it's convenient to use the product.""]","['1. Positive: The reviewer uses the word ""awesome"" to describe the hair collection, indicating a positive sentiment. They also mention that the product is convenient and that their pets seem to like it.']",Thank you for your positive feedback!
Best decision I ever made for my pup! Amazing!,My dog has dermatitis due to food allergies. Her ears were so bad and scaled losing all her fur and getting repeat ear infections. They were so painful for her. I started giving her these as a last resort. She has now been taking 1 a day for almost two months now and her ears have completely healed! All the fur has grown back also! And her skin no longer itches. I can not express how pleased I am with these. Definitely ordering again!,"[""1. Effectiveness on dog's skin condition (dermatitis and ear infections)""]","['1. Extremely positive (Best decision I ever made, Amazing!, Definitely ordering again)']",Thank you for your feedback!
Does not fit,This does not fit the S10 plus,"['* Fitting (specifically, the phone case or accessory not fitting the Samsung S10 Plus device)']","['* Negative: The sentiment is overwhelmingly negative, indicating disappointment and frustration that the product does not fit the intended device.']",We apologize for your experience. We'll work to address these issues.
Space saver,I don't have a gym membership so I wanted something that would fit my needs. These fitness bands fit the need. They are easy to set up and use. I have them in my home office  and can take a break anytime to relieve neck and back strain.. Love the resistance levels also. I can't think of any cons for this product. So glad I found these,['1. Space-saving design'],['1. Positive (90%)'],Thank you for your positive feedback!
Nice,Nice,{},[],Thank you for your feedback!
A great investment for happy kitties!,This is one of the best grooming tools I’ve found yet. I have three cats with varying hair lengths/coat thicknesses and this works on all of them. The curved side gets deep into the undercoat of my domestic longhair and Lynx point Siamese (very thick but short hair) whereas the straight side is really good for my domestic shorthair since he doesn’t have as thick an undercoat. I’d definitely recommend this for any cat owner.,['1. Effectiveness on cats with varying hair lengths and coat thicknesses'],"['1. Positive sentiment towards the product: ""A great investment"", ""one of the best grooming tools I\'ve found yet"", ""I\'d definitely recommend this""']",Thank you for your positive feedback!
Not pleased,"The seller needs to mention, this is only the overlaying for a comforter",{},[],Thank you for your feedback!
So many uses!,"I’m going to buy another pack. We have these everywhere for convenience. Bike trailer, car seat, wheelchair. Depending on where you put them they can be a tad short so I connected 2 to make it longer.",['1. Convenience'],"['1. Positivity/Enthusiasm ( ""So many uses!"", ""I’m going to buy another pack"", ""I connected 2 to make it longer"")']",Thank you for your feedback!
Great price and charges fast,"I have an iPhone SE Gen 2, an iPhone 11, and AirPods Pro. The charger works great with all my devices and the charging is very fast. Note that the price on this one is lower than the other brands, but does not come with the charger brick for the wall, which is fine with me since I have a stack of them.",['1. Price'],"['1. Positive (Great, works great, very fast)']",Thank you for your positive feedback!
Crazy Cart,A++++,['* Product: Crazy Cart'],"['* Positive ( extreme enthusiasm ): Crazy Cart is of very high quality, fun, or excellent.']",Thank you for your positive feedback!
Pet Safe Dancing Dot,"My cat goes after reflected light and absolutely loves chasing the red beam around!  As soon as he hears the beep when I turn it on, he comes running!",['* Pet safety (implied)'],"['* Positive (enthusiastic tone, use of exclamation mark)']",Thank you for your positive feedback!
America the Pillow,"This pillow cover just screams America. I think if I was to cut into it now, it would bleed red white and blue. Performs perfectly with it’s main function of cushioning my back. Nice thick material and good quality, just like the country I love so much!","['1. Design (the pillow cover ""screams America"")']","['1. Positive sentiment towards the product: The reviewer uses positive language to describe the product, such as ""screams America"", ""nice"", and ""good quality"".']",Thank you for your positive feedback!
It is good they did not cut it,Can't say anything about the product as they put it folded in the small envelope. Anyway it is good they did not cut it in 2-3 pieces.,{},[],Thank you for your feedback!
Best vitamins,These are so good. I was looking for something easy to chew and these are definitely it.,['* Quality/Viability of the vitamins'],"['* Positive: ""Best"", ""so good"", ""definitely"" (overall sentiment of the review is extremely positive)']",Thank you for your positive feedback!
Bueno,Bueno para trabajar,"['* The aspect mentioned in the review is ""trabajar"", which means ""to work"" or ""working"".']","['* The sentiment of the review is NEUTRAL. The use of the word ""Bueno"" (which means ""good"" or ""okay"") suggests that the reviewer is neutral or indifferent to their experience. The tone is not overly positive or negative.']",Thank you for your feedback!
Excellent Product for the Beginner,I purchased this for our friends 7 year old son for Christmas and he absolutely loves it.  He was able to learn everything quickly and thoroughly enjoys flying it!  Would purchase another as a gift if the occasion arises.,['* Product quality'],['*'],Thank you for your feedback!
"I'm Not Blue, Happy","This item was nothing short of wonderful!  I'm an early packer whenever I'm traveling.  It's rare last minute plans come up.  Blue is my signature color and now my blue cubes are my best friend.  I packed for a 12 day stay, and was able to compress everything I was wearing and include all my toiletries and daily health products without my suit case screaming for mercy.  I loved it so much, I bought one as a gift for my daughter.  And hers is blue also.",['1. Product functionality'],"['1. Extremely positive (used phrases such as ""nothing short of wonderful"", ""I loved it"", and ""it\'s rare"" to emphasize their enthusiasm)']",Thank you for your feedback!
Have a soft towel handy if you purchase this,"The screen protector, protects the screen, but you have to clean it hourly because it picks up the slightest bit of oil.  Due to the fingerprint scanner, ZAGG couldn't used Tempered Glass, so we are stuck with using this one.  Just have a glass cleaner handy if you use this so that you can keep it clean.","[""* Screen protector's effectiveness""]",['*'],Thank you for your feedback!
????????,????????,{},[],Thank you for your feedback!
Bezel Installment,"Instructions were easy to follow, and installation of the bezel went without any difficulties!",['* Installation process'],['* Positive:'],Thank you for your positive feedback!
SHOULD HAVE sent it back !!!!!!!!,"NOT HAPPY with the  Owl ,it claims that the sensor is good for up to 10ft certainly NOT TRUE,you have to put your hand within a foot of it before it goes off and the sound is so weak you can hardly hear it ,not to mention the eye’s there certainly aren’t VERY BRIGHT !!!!!!!!!!","['1. Sensor range: The reviewer mentions that the sensor is only good for up to 1 foot, not the claimed 10ft.']",['1. Extreme negative sentiment: The reviewer uses multiple exclamation marks to express their strong dissatisfaction with the product.'],Thank you for your feedback!
Color of product not as described.,The size was too small and the color was blue instead of grey that I wanted.  It was listed as dark grey but was actually blue.  I returned it.,['1. Color of the product'],"['1. Negative (frustration/annoyance) - ""not as described""']",We apologize for your experience. We'll work to address these issues.
Hive heaters,They work great for keeping my bee hives warm when it was below freezing. Put them in a top box with a 3/4 in osb with 2 vent holes in it for the heat to get in the hives. 3 in vents with mesh screen over the holes. They were very happy bee's. They do get very warm but with the separation to the hives made it perfect for them. So I got more and ceramic light fixtures for them so I can get them in the rest of my hives before winter comes again with the sub zero Temps. Now I can keep bee's through the winters now.,{},[],Thank you for your feedback!
Broke fast,"This product was very inexpensive but it broke fairly easily. Like within 2 days. I’d spend more money on something sturdier, so I know it’ll last.",['1. Price: The product is inexpensive.'],"[""1. Negative: The reviewer is disappointed with the product's durability and quality.""]",We apologize for your experience. We'll work to address these issues.
Nice backup battery for work,Real convenient at work or in the car.,['1. Convenience'],"['1. Positive ( implied by ""Nice"")']",Thank you for your positive feedback!
Defective unit,"The unit I received appears to be defective. When installed, the fixture only produced a dull flickering light. Replaced with a Robertson unit which works as expected.","['* Quality of the unit (mentioned as ""defective"" and ""works as expected"")']","['* Negative: disappointment, frustration (expressed through the word ""defective"" and the description of the unit\'s functionality)']",We apologize for your experience. We'll work to address these issues.
Fit,"very comfortable, fits well",['* Fit'],"['* Positive: The sentiment is overwhelmingly positive, as the reviewer uses words like ""very comfortable"" and ""fits well"" to describe their experience.']",Thank you for your positive feedback!
Perfect Fit,"A bit pricey but worth it, perfect fit",['* Fit'],"['* Positive: Perfect Fit"" and ""worth it"" (indicating a high level of satisfaction with the product)']",Thank you for your positive feedback!
"looks beautiful, but the scale is at the back, so the design should be improved.","It looks beautiful, but the scale is at the back, so the design should be improved.",['1. Design'],"['1. Positive: ""looks beautiful""']",Thank you for your positive feedback!
Great Blender!,This hand blender does a great job blending hot soup. So much easier than pouring into a traditional blender and much easier to clean. It's also great for smoothies. Looking forward to trying the other attachments. Holds up to more expensive brands. I recommend!,['1. Blending performance'],['1. Positive:'],Thank you for your positive feedback!
Fits well,Perfect for our car Honda Civic. Would recommend,['1. Fit'],['1. Positive (neutral turn positive)'],Thank you for your positive feedback!
Aziz set up,Quality,['1. The comedian/performer (Aziz)'],"[""1. Positive sentiment towards Aziz's setup""]",Thank you for your positive feedback!
So cute!,It’s the cutest! I bought this for my daughter for Easter and I think she’s gona love it. The colors are just so cute. I can’t get enough of it.,['* Cuteness'],"['* Positive: The reviewer uses superlatives such as ""so cute"", ""the cutest"", ""can\'t get enough of it"", indicating a strong enthusiasm and admiration for the product.']",Thank you for your positive feedback!
Way too lawngggg!,"Not truly universal.  Too long for my mower, so I have to fold or tie under front.  Way too long.",['* Length of the product'],['* Negative (3 instances)'],We apologize for your experience. We'll work to address these issues.
Good with reservations,The mitts and the trivets are good.  The little lobster grippers? Or whatever they're called aren't thick enough.  They get extremely hot when you pick something up.  Other than that they're nice for the price.,['* Mitts'],['* Positive:'],Thank you for your positive feedback!
works to get smoke and nicotine off walls,"I love this product! I would definitely buy them again. I was looking for a way to clean 20 yrs of smoke and nicotine off my walls. Anyone who has ever done this knows just how difficult of a task it is. None of the various spray cleaning products I tried would work. I even tried using a vinegar solution without success. Out of desperation I tried a regular magic eraser on a test spot as a last resort before giving up and it came right off with little to no scrubbing! So when I saw they made a mop I just had to order a box. It absolutely worked wonders.  I did not use them on a mop handle though. I was working on the walls in my hallway and since its close quarters I found I had more control without one. I didn't even need to use any kind of soap with them, just a little water. The only improvement I feel would be necessary would be to make the magic eraser part of the sponge mop head a little thicker. I was afraid it wasn't going to be thick enough but it still got the job done.",{},[],Thank you for your feedback!
Beautiful,"I have not done them yet, but everything arrived as described and the look beautiful.  Can't wait to do them.",['1. Quality of the product (arrived as described)'],"[""1. Positive (beautiful, can't wait to do them)""]",Thank you for your positive feedback!
Nice but no bluetooth,No bluetooth,{},[],Thank you for your feedback!
Effective and easy to use,Easy to use and great for at-home or on the go use. Very helpful for my shoulder pain and any other soreness.,['1. Ease of use'],"['1. Positive (Effective, easy to use, very helpful)']",Thank you for your positive feedback!
Beautiful lashes,Beautiful lashes,['* Lashes'],"['* Positive (the repeated use of the word ""Beautiful"" indicates a strong positive sentiment towards the lashes)']",Thank you for your positive feedback!
A must get item!,I like the feel and the fit. So light and comfortable.,['* Feel'],['* Positive (all aspects receive a positive sentiment)'],Thank you for your positive feedback!
Solar Charger/Power Bank,"As far as I can tell, the solar power bank not only is very durable, but it holds a lasting charge.  You don’t have to charge it quite as often because it holds enough charge.  The solar panel works wonders especially when you do not have an outlet nearby. It’s a tab but heavy but the most important thing is that it’s reliable to power up your devices anywhere you go.",['1. Durability'],['1.'],Thank you for your feedback!
Good quality,Good quality. The red card inside is attached to the wood.,['* Quality'],[],Thank you for your feedback!
Coolest lighter ever!,So cool!  Doesn't look cheap at all.  Can't wait to use it.,['1. Design/appearance'],"[""1. Positive (cool, so cool, can't wait to use it)""]",Thank you for your positive feedback!
Tiene buena calidad,Me agrado mucho y lo utilizo en mi auto,"['* Quality (comparable aspect: ""buena calidad"", meaning ""good quality"")']","['* Positive sentiment (expressed through the phrase ""Me agrado mucho"", which means ""I really like it"" and the verb ""agradar"" typically has a positive connotation)']",Thank you for your positive feedback!
Nail drill,Very small but easy to use and convenient,['1. Size: The nail drill is very small.'],"['1. Positive: The review has a positive sentiment overall, as it mentions the drill is ""easy to use"" and ""convenient"".']",Thank you for your positive feedback!
Not the most sturdy.,Not very sturdy but not a lot of money either.  Should have bought a better one.  Basically used for making smoothies.,['* Sturdiness'],"['* Negative: Not the most sturdy, Not very sturdy']",We apologize for your experience. We'll work to address these issues.
This is so easy and safe to use.,"I had to use this to jump start a dead car battery as my car  RX350 was idled for a while.  The battery was so dead that I could not even open the car door with the remote and had  to use a key.  Although it took 3 tries, I was finally able to jump start my car.","['1. Ease of use: The reviewer mentions that the product is ""so easy"" to use.']","['1. Positive: The reviewer is generally satisfied with the product, using words like ""easy"" and ""safe"" to describe their experience. They also express relief that the product worked, ultimately getting their car started.']",Thank you for your positive feedback!
Love it,"Perfect for what i needed it for. Using for church bag to carry my notebooks, Bible and pens. Durable and great value for the price.",['1. Durability'],['1. Positive sentiment (overall sentiment is 5-star review)'],Thank you for your positive feedback!
Love these sandals,Perfect fit. Very comfortable,['1. Fit'],['1. Love (positive)'],Thank you for your feedback!
"Good affordable 1/2"" CNC cutting Bit","Comes in plain envelope, and is stored in a sturdy plastic case.  No label on case so be sure to label the storage case so you know which bit is in it.  Used it to cut some 3/4"" Oak Plywood, and it did a great job with clean cuts and minimal splinters.","['1. Price: The product is considered ""affordable"".']","['1. Positive: The reviewer is generally satisfied with the product, using positive language to describe its performance and quality of cuts.']",Thank you for your positive feedback!
Cheap,"Piece of junk, sorry!! If you cycle at a gym this bike is like driving a a smart car vs a Cadillac. Feels very cheap, can't stand up on it,even with the tension very high. You drop down.",['1. Price (positive)'],"['1. Negativity ( overwhelming, with a tone of disappointment and frustration)']",Thank you for your feedback!
UV paint!,I'm a professional Face Painter and I'm using this for glow in the dark parties where we use UV light in face painting. It's perfect and I appreciate the speediness of your product arriving. Thank you so much,['1. Quality of the UV paint'],"['1. Positive (neutral-to-favorable): Using the phrase ""I\'m a professional"", the reviewer is expressing confidence and expertise in their field, indicating a positive sentiment.']",Thank you for your positive feedback!
Don’t buy!!!,"Constantly falls off of my vents, my phone constantly falls out. It’s cause me to almost get into a accident. Don’t buy!!!! Not safe!!!",['* Vents (the product falling off vents)'],"['* Strongly negative (use of multiple exclamation marks and phrases like ""Don\'t buy!!!!"" and ""Not safe!!!"")']",Thank you for your feedback!
$$ and shipping cost.,Shipping $$ is too high for 2oz wire.,{},[],Thank you for your feedback!
Happy mother in-law ????????,"Bought this for my 84 yrs young mother in-law to replace another, that isn't available anymore. She loves it ???? she gardens everyday.",['1. Product (the new gardening tool)'],['1.'],Thank you for your feedback!
Quality,Nice quality,['QUALITY'],['NEUTRAL/APPROIVING/POSITIVE (implied)'],Thank you for your feedback!
Excelente,Excelente,{},[],Thank you for your feedback!
"Comfortable, slip resistant",Work great. I normally wear low cut boots that costs 4 x this and have to buy special insoles. These work just as good and look better. Slip resistant in oily conditions. They do squeak a little when on vct tile so no sneaking up on anyone.,['1. Comfort'],"['1. Positive: ""Work great"", ""look better"", ""Work just as good"" (indicating a high level of satisfaction)']",Thank you for your positive feedback!
Nice,The way its setup I can plug more large plugs in.,{},[],Thank you for your feedback!
"This is a very bad cooker , do not buy this item","THIS is a very bad cooker, it will burn your finger tips if you touch the outside of the pot, even on low setting. Warranty is only good  if YOU pay for return  shipping costs.",['* Cooker (main product)'],['*'],Thank you for your feedback!
Not happy with these,I usually like this brand but these ones seemed different in texture and make your face look white the original ones never did this and were thicker in texture.,['1. Texture'],['1.'],Thank you for your feedback!
A classic favorite,"Classic, sexy scent. Great casually & date nights",['* Scent'],['* Positive'],Thank you for your positive feedback!
Easy and fun,What I love about the slime kit is that they don’t have to actually make the slime but rather mix in fun little things to make the slime more fun. My daughter loves the kit.,['* Ease of use'],"['* Positive: ""Easy"", ""fun"", ""love""']",Thank you for your positive feedback!
Love it,Really good,{},[],Thank you for your feedback!
Arrived completely smashed,Came in completely smashed! Teeny Tiny shards of glass are everywhere!,['* Packaging'],"['* Negative (frustration, disappointment, anger)']",We apologize for your experience. We'll work to address these issues.
DAMN!!!,....just trust me,['* None explicitly mentioned (this review is more of a reaction than a specific evaluation of certain features or qualities)'],"['* Extremely positive (notated by the use of ""DAMN!!!"", which is an emphatic expression of surprise, excitement, or strong approval)']",Thank you for your feedback!
Pump doesn't work!!,I love the smell of this but the pump doesn't work and this is the second one from Hemps Lotion that is defective! Go back to your original pump that didn't have this issue! It's too much of a hassle to return it and hope to get one that works!,['1. Pump functionality'],['1.'],Thank you for your feedback!
